Matrix Size,Poor Base Case,Proper Base Case,'Supposed' Cache Optimized,Poor OpenMP,Thrashing OpenMP,Correct OpenMP
2048,0.0228,0.0116,0.00900002,0.00279999,0.00760002,0.0992,0.00380001
1024,0.00519996,0.00360007,0.00339994,0.00139999,0.00159998,0.053,0.000600004
512,0.00079999,0.00140004,0.000400019,0.000399971,0.000399971,0.0254,0
256,0,0.000400019,0.000199986,0.000200033,0.000200033,0.0121999,0
128,0,0,0.000199986,0,0.000199986,0.00680003,0
64,0,0,0,0.000400019,0,0.00380001,0
32,0,0,0,0,0,0.00320001,0
16,0,0,0,0,0.000399971,0.00279999,0.000200033
8,0,0,0,0,0.000199986,0.00120001,0.000199986
4,0,0,0,0,0.000600052,0.00119996,0.000199986
